"code";"code_parent";"description";"layer_no"
"A";"0";"Landbouw, bosbouw en visserij";1
"02";"A";"Bosbouw, exploitatie van bossen en dienstverlening voor de bosbouw";2
"06";"B";"Winning van aardolie en aardgas";2
"08";"B";"Winning van delfstoffen (geen olie en gas)";2
"C";"0";"Industrie";1
"10";"C";"Vervaardiging van voedingsmiddelen";2
"11";"C";"Vervaardiging van dranken";2
"12";"C";"Vervaardiging van tabaksproducten";2
"13";"C";"Vervaardiging van textiel";2
"14";"C";"Vervaardiging van kleding";2
"15";"C";"Vervaardiging van leer, lederwaren en schoenen";2
"18";"C";"Drukkerijen, reproductie van opgenomen media";2
"19";"C";"Vervaardiging van cokesovenproducten en aardolieverwerking";2
"20";"C";"Vervaardiging van chemische producten";2
"21";"C";"Vervaardiging van farmaceutische grondstoffen en producten";2
"22";"C";"Vervaardiging van producten van rubber en kunststof";2
"23";"C";"Vervaardiging van overige niet-metaalhoudende minerale producten";2
"24";"C";"Vervaardiging van metalen in primaire vorm";2
"25";"C";"Vervaardiging van producten van metaal (geen machines en apparaten)";2
"26";"C";"Vervaardiging van computers en van elektronische en optische apparatuur";2
"27";"C";"Vervaardiging van elektrische apparatuur";2
"28";"C";"Vervaardiging van overige machines en apparaten";2
"29";"C";"Vervaardiging van auto's, aanhangwagens en opleggers";2
"30";"C";"Vervaardiging van overige transportmiddelen";2
"31";"C";"Vervaardiging van meubels";2
"32";"C";"Vervaardiging van overige goederen";2
"33";"C";"Reparatie en installatie van machines en apparaten";2
"35";"D";"Productie en distributie van en handel in elektriciteit, aardgas, stoom en gekoelde lucht";2
"36";"E";"Winning en distributie van water";2
"37";"E";"Afvalwaterinzameling en -behandeling";2
"39";"E";"Sanering en overig afvalbeheer";2
"F";"0";"Bouwnijverheid";1
"41";"F";"Algemene burgerlijke en utiliteitsbouw en projectontwikkeling";2
"43";"F";"Gespecialiseerde werkzaamheden in de bouw";2
"45";"G";"Handel in en reparatie van auto's, motorfietsen en aanhangers";2
"46";"G";"Groothandel en handelsbemiddeling (niet in auto's en motorfietsen)";2
"47";"G";"Detailhandel (niet in auto's)";2
"49";"H";"Vervoer over land";2
"50";"H";"Vervoer over water";2
"51";"H";"Luchtvaart";2
"52";"H";"Opslag en dienstverlening voor vervoer";2
"53";"H";"Post en koeriers";2
"55";"I";"Logiesverstrekking";2
"56";"I";"Eet- en drinkgelegenheden";2
"J";"0";"Informatie en communicatie";1
"58";"J";"Uitgeverijen";2
"60";"J";"Verzorgen en uitzenden van radio- en televisieprogramma's";2
"61";"J";"Telecommunicatie";2
"62";"J";"Dienstverlenende activiteiten op het gebied van informatietechnologie";2
"63";"J";"Dienstverlenende activiteiten op het gebied van informatie";2
"64";"K";"Financiële instellingen (geen verzekeringen en pensioenfondsen)";2
"65";"K";"Verzekeringen en pensioenfondsen (geen verplichte sociale verzekeringen)";2
"66";"K";"Overige financiële dienstverlening";2
"L";"0";"Verhuur van en handel in onroerend goed";1
"68";"L";"Verhuur van en handel in onroerend goed";2
"70";"M";"Holdings (geen financiële), concerndiensten binnen eigen concern en managementadvisering";2
"73";"M";"Reclame en marktonderzoek";2
"74";"M";"Industrieel ontwerp en vormgeving, fotografie, vertaling en overige consultancy";2
"75";"M";"Veterinaire dienstverlening";2
"77";"N";"Verhuur en lease van auto's, consumentenartikelen, machines en overige roerende goederen";2
